positions,condition,strain
A1,HM9,0
A2,HM9,0
A3,HM9,0
A4,HM9+50%sea,0
A5,HM9+50%sea,0
A6,HM9+50%sea,0
B1,HM9,MG
B2,HM9,MG
B3,HM9,MG
B4,HM9+50%sea,MG
B5,HM9+50%sea,MG
B6,HM9+50%sea,MG
D1,HM9,ALE1
D2,HM9,ALE1
D3,HM9,ALE1
D4,HM9+50%sea,ALE1
D5,HM9+50%sea,ALE1
D6,HM9+50%sea,ALE1
E1,HM9,ALE2
E2,HM9,ALE2
E3,HM9,ALE2
E4,HM9+50%sea,ALE2
E5,HM9+50%sea,ALE2
E6,HM9+50%sea,ALE2
F1,HM9,ALE3
F2,HM9,ALE3
F3,HM9,ALE3
F4,HM9+50%sea,ALE3
F5,HM9+50%sea,ALE3
F6,HM9+50%sea,ALE3
G1,HM9,ALE4
G2,HM9,ALE4
G3,HM9,ALE4
G4,HM9+50%sea,ALE4
G5,HM9+50%sea,ALE4
G6,HM9+50%sea,ALE4
H1,HM9,ALE5
H2,HM9,ALE5
H3,HM9,ALE5
H4,HM9+50%sea,ALE5
H5,HM9+50%sea,ALE5