,concentration,strain,foldchange
0,Hg,merR_MG,0.8985438824870708
1,As,merR_MG,0.014995280409374256
2,Cd,merR_MG,0.025208217611753847
3,Pb,merR_MG,0.045016313
4,Cu,merR_MG,0.082568605
5,Hg,merR_ALE1,0.41587219329291736
6,As,merR_ALE1,0.46255307393946543
7,Cd,merR_ALE1,0.32032446377584334
8,Pb,merR_ALE1,0.24619242332928903
9,Cu,merR_ALE1,0.6330501747278674
10,Hg,merR_ALE2,0.9224955648061133
11,As,merR_ALE2,0.079603175
12,Cd,merR_ALE2,0.20292907249955724
13,Pb,merR_ALE2,0.16748224894485225
14,Cu,merR_ALE2,0.6237695223515316
15,Hg,merR_ALE3,0.5549899810987845
16,As,merR_ALE3,0.12857267105734455
17,Cd,merR_ALE3,0.23681598573868903
18,Pb,merR_ALE3,0.078791542
19,Cu,merR_ALE3,0.092346676
20,Hg,merR_ALE4,0.7526854236264797
21,As,merR_ALE4,0.218398356
22,Cd,merR_ALE4,0.3558407599348658
23,Pb,merR_ALE4,0.070508829
24,Cu,merR_ALE4,0.067949065
25,Hg,merR_ALE5,0.9464845810020478
26,As,merR_ALE5,-0.004516588
27,Cd,merR_ALE5,-0.020932667
28,Pb,merR_ALE5,-0.006349283
29,Cu,merR_ALE5,0.044341335
30,Hg,arsR_MG,0.12624476405555785
31,As,arsR_MG,0.2800798820660214
32,Cd,arsR_MG,0.21717478094104192
33,Pb,arsR_MG,0.084655905
34,Cu,arsR_MG,0.2027555502975961
35,Hg,arsR_ALE1,0.47228044506557093
36,As,arsR_ALE1,0.6689985424562971
37,Cd,arsR_ALE1,0.5598651326977886
38,Pb,arsR_ALE1,0.5957992439266244
39,Cu,arsR_ALE1,0.3271500612086097
40,Hg,arsR_ALE2,0.1804011740375846
41,As,arsR_ALE2,0.7338281659260031
42,Cd,arsR_ALE2,0.10941055430663521
43,Pb,arsR_ALE2,0.095010777
44,Cu,arsR_ALE2,0.12414327213891851
45,Hg,arsR_ALE3,0.19861251637188637
46,As,arsR_ALE3,0.22122594320039396
47,Cd,arsR_ALE3,0.2363197106335942
48,Pb,arsR_ALE3,0.14776861249466344
49,Cu,arsR_ALE3,0.14010116254452898
50,Hg,arsR_ALE4,0.6245238629374185
51,As,arsR_ALE4,0.688039505
52,Cd,arsR_ALE4,0.1594228993463539
53,Pb,arsR_ALE4,0.15438593645540333
54,Cu,arsR_ALE4,0.10990701840814152
55,Hg,arsR_ALE5,0.29323348234339386
56,As,arsR_ALE5,0.6378404702510684
57,Cd,arsR_ALE5,0.46106577086424105
58,Pb,arsR_ALE5,0.4116724200543684
59,Cu,arsR_ALE5,0.4015686718715724
60,Hg,cusC_MG,0.316746897
61,As,cusC_MG,0.12932106131115836
62,Cd,cusC_MG,0.1572137868672753
63,Pb,cusC_MG,0.2023032392211689
64,Cu,cusC_MG,0.8590601169277315
65,Hg,cusC_ALE1,0.061123152
66,As,cusC_ALE1,0.10530425843633134
67,Cd,cusC_ALE1,-0.007530361
68,Pb,cusC_ALE1,0.052015774
69,Cu,cusC_ALE1,0.46162628692368546
70,Hg,cusC_ALE2,0.1615609647618393
71,As,cusC_ALE2,0.18993311518837264
72,Cd,cusC_ALE2,0.1610110975547287
73,Pb,cusC_ALE2,0.085458262
74,Cu,cusC_ALE2,0.6970277194369046
75,Hg,cusC_ALE3,0.030502040700345623
76,As,cusC_ALE3,0.046767300436615256
77,Cd,cusC_ALE3,0.038976155
78,Pb,cusC_ALE3,0.082669471
79,Cu,cusC_ALE3,0.6687965336100046
80,Hg,cusC_ALE4,0.13563664261392727
81,As,cusC_ALE4,0.026097514416216716
82,Cd,cusC_ALE4,0.022487739
83,Pb,cusC_ALE4,0.069649347
84,Cu,cusC_ALE4,0.5717974489389547
85,Hg,cusC_ALE5,0.3768097089812901
86,As,cusC_ALE5,0.7130660944892303
87,Cd,cusC_ALE5,0.17108117818164242
88,Pb,cusC_ALE5,0.098177082
89,Cu,cusC_ALE5,0.4693831331361449
90,Hg,zntA_MG,-0.007578841
91,As,zntA_MG,-0.006936545
92,Cd,zntA_MG,-0.003533799
93,Pb,zntA_MG,-0.018466116
94,Cu,zntA_MG,0.004096011
95,Hg,zntA_ALE1,0.29566846407828606
96,As,zntA_ALE1,0.04639737
97,Cd,zntA_ALE1,0.050042956949084116
98,Pb,zntA_ALE1,0.3349770835776814
99,Cu,zntA_ALE1,0.3108807023813033
100,Hg,zntA_ALE2,0.2609475921441799
101,As,zntA_ALE2,0.24708310541389406
102,Cd,zntA_ALE2,0.10692506073805746
103,Pb,zntA_ALE2,0.18693157703795893
104,Cu,zntA_ALE2,0.13110410512620058
105,Hg,zntA_ALE3,0.5415881530650792
106,As,zntA_ALE3,0.5434161005345677
107,Cd,zntA_ALE3,0.1539374897892279
108,Pb,zntA_ALE3,0.24203878837582582
109,Cu,zntA_ALE3,0.1215529292007611
110,Hg,zntA_ALE4,0.23388968195986526
111,As,zntA_ALE4,0.18839581656201976
112,Cd,zntA_ALE4,0.083991619
113,Pb,zntA_ALE4,0.1311453501761658
114,Cu,zntA_ALE4,0.1373315941349862
115,Hg,zntA_ALE5,0.3431486164043841
116,As,zntA_ALE5,0.3779289382809319
117,Cd,zntA_ALE5,0.24164116887504625
118,Pb,zntA_ALE5,0.2791902193127576
119,Cu,zntA_ALE5,0.5269078767297386
120,Hg,cadC_MG,0.019674531464504486
121,As,cadC_MG,0.084423165
122,Cd,cadC_MG,0.072805179
123,Pb,cadC_MG,0.044439784
124,Cu,cadC_MG,0.14427843220465497
125,Hg,cadC_ALE1,0.11652277741463613
126,As,cadC_ALE1,0.8396996716093875
127,Cd,cadC_ALE1,0.088200734
128,Pb,cadC_ALE1,0.14866757027378974
129,Cu,cadC_ALE1,0.20758193475288034
130,Hg,cadC_ALE2,0.17582097174261868
131,As,cadC_ALE2,0.15961175578344766
132,Cd,cadC_ALE2,0.1336951086243351
133,Pb,cadC_ALE2,0.15488433390199652
134,Cu,cadC_ALE2,0.16540175984461558
135,Hg,cadC_ALE3,0.18704038833298142
136,As,cadC_ALE3,0.28147910908399654
137,Cd,cadC_ALE3,0.16057757987917598
138,Pb,cadC_ALE3,0.3051877684511215
139,Cu,cadC_ALE3,0.3344573892464735
140,Hg,cadC_ALE4,0.172515818
141,As,cadC_ALE4,0.10017099186085499
142,Cd,cadC_ALE4,0.072588091
143,Pb,cadC_ALE4,0.11431222517143247
144,Cu,cadC_ALE4,0.1778237696125724
145,Hg,cadC_ALE5,0.5894469556361386
146,As,cadC_ALE5,0.7407736202444078
147,Cd,cadC_ALE5,0.1909016044004471
148,Pb,cadC_ALE5,0.14057036547640367
149,Cu,cadC_ALE5,0.098502992
150,Hg,zraP_MG,0.8019871134088815
151,As,zraP_MG,0.48532127330878516
152,Cd,zraP_MG,0.40857305910555025
153,Pb,zraP_MG,0.7571475914029646
154,Cu,zraP_MG,0.5252901073644876
155,Hg,zraP_ALE1,0.7286484593504392
156,As,zraP_ALE1,0.567961109
157,Cd,zraP_ALE1,0.37065871394220545
158,Pb,zraP_ALE1,0.6089306878478501
159,Cu,zraP_ALE1,0.4881407037511224
160,Hg,zraP_ALE2,0.7443069522918548
161,As,zraP_ALE2,0.4580123513922891
162,Cd,zraP_ALE2,0.35092299690349094
163,Pb,zraP_ALE2,0.5823997474621686
164,Cu,zraP_ALE2,0.44580828499984204
165,Hg,zraP_ALE3,0.8330618245146322
166,As,zraP_ALE3,0.5841736348407848
167,Cd,zraP_ALE3,0.5308083258618511
168,Pb,zraP_ALE3,0.6061489421457189
169,Cu,zraP_ALE3,0.590300391
170,Hg,zraP_ALE4,0.8732377072518478
171,As,zraP_ALE4,0.5567622413808703
172,Cd,zraP_ALE4,0.5748848670951983
173,Pb,zraP_ALE4,0.6558916491952844
174,Cu,zraP_ALE4,0.5368664545347307
175,Hg,zraP_ALE5,0.8823245732785912
176,As,zraP_ALE5,0.5678545078592152
177,Cd,zraP_ALE5,0.5377748465922247
178,Pb,zraP_ALE5,0.6285291756750264
179,Cu,zraP_ALE5,0.5411330082725001